date,lon,lat
1/5/2022,147,19.5
1/6/2022,149,18.5
1/7/2022,151.264,17.5036
1/8/2022,145.42,13.965
1/9/2022,145.04085,13.695
1/10/2022,144.6617,13.425
1/11/2022,144.6617,13.425
1/12/2022,144.6617,13.425
1/13/2022,144.6617,13.425
1/14/2022,144.6617,13.425
1/15/2022,144.6617,13.425
1/16/2022,144.6617,13.425
1/17/2022,144.6617,13.425
1/18/2022,144.6617,13.425
1/19/2022,144.6189,13.6857
1/20/2022,141.2317,10.615
1/21/2022,138.0133,7.8883
1/22/2022,134.6797,5.0464
1/23/2022,131.1833,2.01
1/24/2022,130.345,-1.04
1/25/2022,131.845,-4.9067
1/26/2022,130.23,-8.985
1/27/2022,130.5842,-12.2533
1/28/2022,129.5067,-12.3767
1/29/2022,125.5433,-12.5933
